Frequency(Hz), Magnitude(ohm), Phase(deg)
2170.304, 9.029, -24.083
2201.829, 8.737, -23.749
2233.813, 8.698, -23.258
2266.260, 8.551, -23.248
2299.179, 8.366, -23.045
2332.576, 8.206, -22.175
2366.458, 8.028, -21.960
2400.833, 7.912, -20.415
2435.707, 7.880, -19.523
2471.087, 7.796, -19.119
2506.981, 7.722, -17.368
2543.397, 7.871, -17.943
2580.342, 7.687, -17.264
2617.823, 7.675, -17.267
2655.848, 7.564, -16.841
2694.426, 7.452, -15.725
2733.565, 7.455, -15.079
2773.272, 7.365, -14.349
2813.555, 7.406, -13.406
2854.424, 7.355, -13.087
2895.887, 7.377, -12.246
2937.951, 7.357, -12.037
2980.627, 7.360, -11.251
3023.923, 7.382, -11.031
3067.847, 7.365, -10.385
3112.410, 7.387, -10.329
3157.620, 7.385, -9.872
3203.487, 7.417, -9.892
3250.019, 7.344, -9.626
3297.228, 7.392, -9.336
3345.123, 7.326, -9.027
3393.713, 7.374, -9.129
3443.009, 7.333, -8.610
3493.021, 7.307, -8.904
3543.760, 7.303, -8.319
3595.235, 7.231, -8.276
3647.458, 7.280, -8.023
3700.440, 7.200, -7.931
3754.192, 7.196, -7.932
3808.724, 7.140, -7.476
3864.048, 7.097, -7.325
3920.176, 7.077, -6.908
3977.119, 7.036, -6.580
4034.890, 7.005, -6.167
4093.499, 6.976, -5.764
4152.960, 6.953, -5.375
4213.285, 6.927, -5.037
4274.485, 6.904, -4.489
4336.576, 6.886, -4.141
4399.567, 6.862, -3.616
4463.474, 6.855, -3.220
4528.309, 6.837, -2.728
4594.086, 6.834, -2.226
4660.818, 6.832, -1.772
4728.520, 6.830, -1.353
4797.205, 6.827, -0.860
4866.887, 6.839, -0.460
4937.582, 6.845, -0.107
5009.304, 6.838, 0.229
5082.067, 6.840, 0.558
5155.888, 6.844, 1.045
5230.781, 6.854, 1.417
5306.762, 6.863, 1.839
5383.846, 6.875, 2.145
5462.050, 6.877, 2.418
5541.390, 6.875, 2.843
5621.883, 6.882, 3.234
5703.544, 6.891, 3.539
5786.392, 6.907, 3.909
5870.443, 6.914, 4.174
5955.716, 6.921, 4.480
6042.227, 6.923, 4.887
6129.994, 6.930, 5.221
6219.037, 6.940, 5.623
6309.372, 6.958, 5.973
6401.021, 6.968, 6.325
6494.000, 6.983, 6.642
6588.329, 6.998, 7.016
6684.029, 7.023, 7.287
6781.120, 7.032, 7.584
6879.620, 7.047, 7.915
6979.551, 7.062, 8.254
7080.934, 7.087, 8.524
7183.790, 7.102, 8.792
7288.139, 7.122, 9.144
7394.004, 7.143, 9.425
7501.407, 7.164, 9.741
7610.370, 7.182, 9.937
7720.916, 7.209, 10.315
7833.067, 7.232, 10.596
7946.848, 7.247, 10.831
8062.282, 7.277, 11.136
8179.392, 7.296, 11.386
8298.203, 7.321, 11.621
8418.740, 7.347, 11.953
8541.028, 7.379, 12.316
8665.093, 7.431, 12.299
8790.959, 7.423, 12.604
8918.654, 7.466, 13.169
9048.203, 7.564, 13.761
9179.635, 7.722, 13.261
9312.976, 7.742, 12.575
9448.253, 7.720, 11.214
9585.495, 7.461, 11.628
9724.730, 7.482, 13.155
9865.989, 7.619, 13.434
10009.300, 7.597, 12.806
10154.691, 7.534, 13.247
10302.195, 7.529, 13.761
10451.842, 7.530, 14.320
10603.662, 7.565, 14.887
10757.688, 7.660, 15.062
10913.950, 7.647, 14.938
11072.483, 7.637, 15.164
11233.318, 7.624, 15.565
11396.490, 7.637, 16.015
11562.032, 7.669, 16.540
11729.979, 7.706, 16.915
11900.364, 7.754, 17.321
