Frequency(Hz), Magnitude(ohm), Phase(deg)
2139.230, 10.659, -11.945
2170.304, 10.607, -13.330
2201.829, 10.565, -14.845
2233.813, 10.401, -15.759
2266.260, 10.210, -16.492
2299.179, 10.077, -17.308
2332.576, 9.800, -17.362
2366.458, 9.762, -17.385
2400.833, 9.612, -16.997
2435.707, 9.662, -16.982
2471.087, 9.655, -17.488
2506.981, 9.628, -17.722
2543.397, 9.795, -20.596
2580.342, 9.377, -21.766
2617.823, 9.043, -22.915
2655.848, 8.731, -22.379
2694.426, 8.504, -21.695
2733.565, 8.416, -21.715
2773.272, 8.168, -21.563
2813.555, 8.037, -21.033
2854.424, 7.847, -20.918
2895.887, 7.698, -19.902
2937.951, 7.596, -19.307
2980.627, 7.499, -18.758
3023.923, 7.393, -18.081
3067.847, 7.284, -17.394
3112.410, 7.208, -16.568
3157.620, 7.132, -15.908
3203.487, 7.069, -15.086
3250.019, 7.003, -14.226
3297.228, 6.987, -13.493
3345.123, 6.939, -12.847
3393.713, 6.899, -12.196
3443.009, 6.858, -11.383
3493.021, 6.840, -10.673
3543.760, 6.818, -9.955
3595.235, 6.794, -9.412
3647.458, 6.793, -8.605
3700.440, 6.777, -8.106
3754.192, 6.773, -7.480
3808.724, 6.761, -6.931
3864.048, 6.759, -6.350
3920.176, 6.757, -5.795
3977.119, 6.749, -5.169
4034.890, 6.755, -4.633
4093.499, 6.752, -4.011
4152.960, 6.769, -3.489
4213.285, 6.784, -2.990
4274.485, 6.801, -2.537
4336.576, 6.814, -2.098
4399.567, 6.827, -1.665
4463.474, 6.851, -1.322
4528.309, 6.858, -0.960
4594.086, 6.886, -0.555
4660.818, 6.904, -0.231
4728.520, 6.926, 0.079
4797.205, 6.951, 0.260
4866.887, 6.966, 0.428
4937.582, 6.973, 0.610
5009.304, 6.976, 0.777
5082.067, 6.977, 0.951
5155.888, 6.976, 1.158
5230.781, 6.982, 1.416
5306.762, 6.982, 1.638
5383.846, 6.976, 1.815
5462.050, 6.961, 2.054
5541.390, 6.946, 2.410
5621.883, 6.941, 2.831
5703.544, 6.943, 3.078
5786.392, 6.946, 3.459
5870.443, 6.947, 3.733
5955.716, 6.949, 4.045
6042.227, 6.941, 4.451
6129.994, 6.943, 4.832
6219.037, 6.949, 5.226
6309.372, 6.962, 5.597
6401.021, 6.968, 5.997
6494.000, 6.983, 6.313
6588.329, 6.994, 6.703
6684.029, 7.017, 6.967
6781.120, 7.023, 7.262
6879.620, 7.033, 7.619
6979.551, 7.045, 7.968
7080.934, 7.064, 8.254
7183.790, 7.076, 8.554
7288.139, 7.091, 8.941
7394.004, 7.112, 9.262
7501.407, 7.128, 9.597
7610.370, 7.145, 9.834
7720.916, 7.166, 10.256
7833.067, 7.185, 10.614
7946.848, 7.202, 10.937
8062.282, 7.233, 11.336
8179.392, 7.258, 11.666
8298.203, 7.296, 11.996
8418.740, 7.333, 12.383
8541.028, 7.381, 12.753
8665.093, 7.450, 12.754
8790.959, 7.460, 13.001
8918.654, 7.518, 13.442
9048.203, 7.624, 13.925
9179.635, 7.798, 13.301
9312.976, 7.806, 12.294
9448.253, 7.750, 10.929
9585.495, 7.485, 11.411
9724.730, 7.504, 12.941
9865.989, 7.647, 13.257
10009.300, 7.624, 12.399
10154.691, 7.534, 12.814
10302.195, 7.515, 13.398
10451.842, 7.505, 14.020
10603.662, 7.535, 14.639
10757.688, 7.622, 14.881
10913.950, 7.601, 14.853
11072.483, 7.592, 15.198
11233.318, 7.585, 15.716
11396.490, 7.609, 16.241
11562.032, 7.648, 16.822
11729.979, 7.700, 17.275
11900.364, 7.770, 17.701
12073.226, 7.877, 17.815
12248.598, 7.954, 17.161
12426.517, 7.818, 17.068
12607.021, 7.940, 18.223
12790.146, 7.889, 17.137
12975.932, 7.808, 17.809
13164.416, 7.761, 18.717
13355.639, 7.757, 19.940
13549.639, 7.851, 21.271
13746.456, 8.001, 22.016
13946.133, 8.078, 22.581
14148.710, 8.176, 24.541
14354.229, 8.571, 26.501
14562.734, 9.401, 27.633
14774.269, 10.745, 20.942
14988.875, 9.922, 13.201
15206.599, 9.014, 10.224
15427.485, 8.603, 14.924
15651.580, 8.899, 14.698
15878.930, 8.624, 11.708
16109.582, 8.203, 13.616
16343.585, 8.141, 14.810
16580.986, 8.175, 15.698
16821.838, 8.038, 15.820
17066.186, 7.982, 16.844
17314.084, 7.940, 18.094
17565.582, 8.066, 19.345
17820.734, 8.124, 17.890
18079.594, 7.909, 19.484
18342.213, 8.142, 20.433
18608.645, 8.153, 20.426
18878.949, 8.034, 19.532
19153.178, 7.959, 21.443
19431.391, 8.088, 22.864
19713.646, 8.282, 21.562
20000.000, 8.063, 21.788
